Person-ID,"Label [generiert, nicht manuell berarbeiten]",Familienname,Vorname,Geburtsdatum,Sterbedatum,GND,Kurzbeschreibung,Kategorie,Quellen,Bemerkungen
person_078,"Satan,  (-)",Satan,,,,4059588-2,Biblische Figur,Biblische Figur,,
person_079,"Abigail,  (-)",Abigail,,,,,Biblische Figur,Biblische Figur,,
person_080,"Hanna,  (-)",Hanna,,,,,Biblische Figur,Biblische Figur,,
person_081,"Susanna,  (-)",Susanna,,,,,Biblische Figur,Biblische Figur,,
person_082,"Esther,  (-)",Esther,,,,,Biblische Figur,Biblische Figur,,
person_083,"Jaël,  (-)",Jaël,,,,,Biblische Figur,Biblische Figur,,
person_084,"Tobias,  (-)",Tobias,,,,,Biblische Figur,Biblische Figur,,
person_085,"Asarias,  (-)",Asarias,,,,,Gefährte des Tobias,Biblische Figur,,
person_086,"Boreas,  (-)",Boreas,,,,1033685380,Griechische Gottheit des Nordwinds,Mythologische Figur,https://de.wikipedia.org/wiki/Boreas,
person_087,"Ceres,  (-)",Ceres,,,,118862294,Römische Göttin des Ackerbaus und der Fruchtbarkeit,Mythologische Figur,https://de.wikipedia.org/wiki/Ceres_(Mythologie),
person_088,"Amor,  (-)",Amor,,,,11850262X,Gott der Liebe,Mythologische Figur,,
person_089,"Sokrates,  (-)",Sokrates,,,,118615270,griechischer Philosoph,Historische Person,,
